86	Fist of the North Star	8	Taxan	9	10	1989	8.909090909090908
87	Flintstones: The Rescue of Dino & Hoppy	9	Taito	4	18	1991	4.2631578947368425
88	Frankenstein: The Monster Returns	9	Bandai	7	15	1990	7.125
89	Freedom Force	5	Sunsoft	6	13	1988	5.928571428571429
90	Friday the 13th	11	LJN	9	62	1988	9.031746031746032
91	G.I. Joe	4	Taxan	3	34	1990	3.0285714285714285
92	G.I. Joe: The Atlantis Factor	5	Capcom	4	13	1991	4.071428571428571
93	Galaga	2	Namco	3	65	1988	2.984848484848485
94	Gauntlet	8	Tengen	6	49	1987	6.04
95	Gauntlet II	11	Mindscape	8	26	1990	8.11111111111111
96	Ghostbusters	13	Activision	12	76	1986	12.012987012987013
97	Ghostbusters 2	6	Activision	9	25	1989	8.884615384615385
98	Ghosts 'N Goblins	6	Capcom	6	78	1986	6.0
99	Ghoul School	13	Electro Brain	11	15	1989	11.125
100	 Goal!	6	Jaleco	8	4	1989	7.6
101	Godzilla	13	Toho	8	32	1988	8.151515151515152
102	Golf	6	Nintendo	6	45	1984	6.0
103	Goonies II	13	Konami	5	48	1987	5.163265306122449
104	Gotcha! The Sport	3	LJN	7	21	1987	6.818181818181818
105	Gradius	4	Konami	4	59	1986	4.0
106	Guerilla War	3	SNK	3	34	1989	3.0
107	Gunsmoke	8	Capcom	4	57	1988	4.068965517241379
108	Gyromite	9	Nintendo	8	36	1985	8.027027027027026
109	Gyruss	11	Ultra	4	45	1988	4.1521739130434785
110	Heavy Barrel	4	Data East	6	27	1990	5.928571428571429
111	Heavy Shreddin'	13	Parker Bros.	11	9	1989	11.2
112	Hogan's Alley	9	Nintendo	6	43	1984	6.068181818181818
113	Home Alone	9	THQ	9	20	1991	9.0
114	Home Alone 2: Lost in New York	13	THQ	12	22	1992	12.043478260869565
115	Ice Climber	9	Nintendo	7	69	1984	7.0285714285714285
116	Ice Hockey	5	Nintendo	5	45	1988	5.0
117	Ikari Warriors	5	SNK	8	51	1986	7.9423076923076925
118	Ikari Warriors II: Victory Road	7	SNK	9	25	1988	8.923076923076923
119	Ikari Warriors III: The Rescue	8	SNK	9	17	1990	8.944444444444445
120	Indiana Jones and The Temple of Doom	12	LucasArts	12	21	1988	12.0
121	Indiana Jones and the Last Crusade (Taito version)	11	Taito	10	9	1990	10.1
